TransactionID,PostingDate,BookingText,CompanyCode,PartnerCompanyCode,GLAccount,TransactionType,Amount,Currency,error
TX00182,2025-10-03,Other costs - not classified,DE01,,4900,Invoice,2184.33,EUR,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00183,2025-09-29,Other costs - not classified,CH04,,4900,Invoice,2763.22,CHF,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00184,2025-04-30,Other costs - not classified,CH04,SG01,4900,Invoice,3136.21,CHF,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00185,2025-06-11,Other costs - not classified,SG01,,4900,Invoice,4090.44,SGD,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00186,2025-04-22,Other costs - not classified,FR03,US05,4900,Invoice,4475.08,EUR,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00187,2025-03-09,Other costs - not classified,CH04,US02,4900,Invoice,842.87,CHF,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00188,2025-08-11,Other costs - not classified,SG01,US02,4900,Invoice,1445.59,SGD,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00189,2025-04-13,Other costs - not classified,DE01,SG01,4900,Invoice,3991.69,EUR,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00190,2025-02-19,Other costs - not classified,DE01,,4900,Invoice,3489.03,EUR,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00191,2025-03-01,Other costs - not classified,CH04,SG01,4900,Credit Note,3475.44,CHF,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00192,2025-09-15,Other costs - not classified,SG01,FR03,4900,Credit Note,3246.38,SGD,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00193,2025-02-24,Other costs - not classified,SG01,CH04,4900,Credit Note,4053.65,SGD,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00194,2025-03-17,Other costs - not classified,US02,CH04,4900,Credit Note,3857.59,USD,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00195,2025-03-22,Other costs - not classified,CH04,US05,4900,Invoice,751.75,CHF,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00196,2025-03-10,Other costs - not classified,US05,,4900,Invoice,657.18,USD,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00197,2025-06-17,Other costs - not classified,SG01,DE01,4900,Invoice,572.51,SGD,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00198,2025-08-09,Other costs - not classified,DE01,FR03,4900,Credit Note,2246.93,EUR,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00199,2025-04-13,Other costs - not classified,CH04,SG01,4900,Invoice,1991.14,CHF,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00200,2025-07-27,Other costs - not classified,CH04,FR03,4900,Credit Note,2378.96,CHF,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00201,2025-06-15,Other costs - not classified,CH04,SG01,4900,Invoice,992.37,CHF,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00202,2025-10-19,Other costs - not classified,US02,,4900,Credit Note,4403.01,USD,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00203,2025-05-13,Other costs - not classified,FR03,CH04,4900,Credit Note,2620.59,EUR,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00204,2025-07-27,Other costs - not classified,US05,US02,4900,Invoice,3773.29,USD,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00205,2025-08-10,Other costs - not classified,CH04,DE01,4900,Credit Note,4423.24,CHF,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00206,2025-02-06,Other costs - not classified,CH04,FR03,4900,Invoice,1192.78,CHF,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00207,2025-07-02,Other costs - not classified,US05,DE01,4900,Invoice,2450.43,USD,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00208,2025-12-08,Other costs - not classified,SG01,FR03,4900,Credit Note,437.94,SGD,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00209,2025-10-19,Other costs - not classified,US05,DE01,4900,Credit Note,1237.03,USD,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00210,2025-11-25,Other costs - not classified,CH04,SG01,4900,Credit Note,568.8,CHF,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00211,2025-10-22,Other costs - not classified,CH04,,4900,Credit Note,774.13,CHF,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00212,2025-05-12,Other costs - not classified,US02,CH04,4900,Invoice,3153.9,USD,GL account '4900' has no entry in mapping_gl_accounts.xlsx
TX00213,2025-11-28,Other costs - not classified,DE01,FR03,4900,Invoice,2622.85,EUR,GL account '4900' has no entry in mapping_gl_accounts.xlsx
